Feature,Mean_Absolute_SHAP
hour_cos,1586.6924450435188
hour_sin,546.4683653176057
is_weekend,197.77809345368996
day_of_week_sin,191.9914598244529
day_of_week_cos,93.96785741522045
temp,86.48071349555725
month_sin,50.616714204035915
month_cos,44.03047703512912
clouds_all,26.32489744500892
rain_1h,9.19234749504571
weather_main_Clouds,8.068772262071155
weather_main_Snow,4.397670013190926
weather_main_Mist,4.357416044550892
weather_main_Clear,3.458178350989985
weather_main_Rain,2.821141174147295
weather_main_Haze,1.3118517338710638
weather_main_Fog,0.7468021973644037
weather_main_Thunderstorm,0.5868026504885022
is_holiday,0.5811671327061779
weather_main_Drizzle,0.3576745218091609
snow_1h,0.29672705596882487
weather_main_Smoke,3.137195644930005e-05
weather_main_Squall,0.0
