Antecedent,Consequent,support,confidence,lift
"Day=Weekend, Time=Night",Congestion=Low,0.06441571378172536,0.8860976306023409,3.5443169690242384
"Day=Weekend, Time=Night, Weather=Clear",Congestion=Low,0.021976881731587357,0.863080684596577,3.4522510955968504
"Time=Night, Weather=Clouds",Congestion=Low,0.04922489468113807,0.8526240115025162,3.410425271210405
"Time=Night, Weather=Clear",Congestion=Low,0.06958308257413826,0.8512312769738513,3.4048544487041563
Time=Night,Congestion=Low,0.2163239047875983,0.8487908150802052,3.395092803707964
"Day=Weekend, Time=Afternoon, Weather=Clouds",Congestion=High,0.02428040757880756,0.8472121650977552,3.386810403149621
"Day=Weekday, Time=Night, Weather=Clear",Congestion=Low,0.0476062008425509,0.8458702064896756,3.3834106117803597
"Time=Night, Weather=Rain",Congestion=Low,0.024321912549027744,0.8455988455988456,3.3823251907422236
"Day=Weekday, Time=Night, Weather=Clouds",Congestion=Low,0.03546599705314712,0.8410433070866142,3.3641034148404314
"Time=Night, Weather=Mist",Congestion=Low,0.03505094735094528,0.836552748885587,3.3461415547895554
